,model,pred_gpu,pred_std,true_norm_gpu,true_gpu,true_n_gpu,ub_95,pred_n_gpu_95
1558,FLBNN,0.26776797,0.05322223,0.2047894069006931,15367729.694928896,946,0.35531074804994545,1642
1559,FLBNN,0.26175946,0.054054532,0.1952288452696199,15147520.064334871,902,0.35067125301336444,1620
1560,FLBNN,0.25830144,0.05450843,0.1957104878443019,15158613.79894397,905,0.3479598287849304,1608
1561,FLBNN,0.25644523,0.055201992,0.1838587927691521,14885632.200673709,850,0.3472444267561462,1605
1562,FLBNN,0.25565273,0.05569993,0.1737810541149237,14653510.366004707,803,0.34727096188144313,1605
1563,FLBNN,0.2558464,0.05610054,0.170034107294006,14567206.463877453,786,0.34812357669293614,1609
1564,FLBNN,0.25379965,0.056028944,0.1690688512738593,14544973.599342138,781,0.3459590617526609,1599
1565,FLBNN,0.2504273,0.055933233,0.1674881475580089,14508565.049847024,774,0.3424292811671718,1582
1566,FLBNN,0.24638526,0.05593637,0.1632817575905185,14411678.73535846,755,0.3383924010729995,1564
1567,FLBNN,0.24186645,0.05594141,0.1728176702776336,14631320.623694967,799,0.3338818811352794,1543
1568,FLBNN,0.23712662,0.055927616,0.1906480102774836,15042009.110025248,881,0.3291193620243492,1521
1569,FLBNN,0.23240317,0.055966,0.1920211451157326,15073636.699193632,887,0.3244590480859661,1499
1570,FLBNN,0.22812757,0.056204185,0.1901927649341337,15031523.386198845,879,0.32057522754710155,1481
1571,FLBNN,0.22508405,0.056727774,0.1816511556349029,14834783.414108844,840,0.3183929348127834,1471
1572,FLBNN,0.22356147,0.057289757,0.1721448875489,14615824.333635716,796,0.3177947345886185,1468
1573,FLBNN,0.22324601,0.05787919,0.1665367956991674,14486652.4416254,770,0.31844880559651334,1471
1574,FLBNN,0.22380263,0.058362164,0.1648362307024558,14447483.112021385,762,0.31979984713213666,1478
1575,FLBNN,0.22454682,0.058670625,0.1701974800124489,14570969.448455736,787,0.3210514103267597,1484
1576,FLBNN,0.22472455,0.0587856,0.1814342067995541,14829786.404023714,839,0.32141825737251845,1485
1577,FLBNN,0.22409354,0.058759958,0.2039983127221613,15349508.322216503,943,0.3207450700358162,1482
1578,FLBNN,0.22293906,0.058751587,0.1965134913283592,15177109.480203455,908,0.31957682096610496,1477
1579,FLBNN,0.22188479,0.05888218,0.1891887511536139,15008397.809245186,874,0.31873735733580943,1473
1580,FLBNN,0.2219107,0.05932073,0.1849371669938375,14910470.531184362,855,0.31948461789390903,1476
1581,FLBNN,0.2232521,0.05966029,0.2139532925986262,15578802.638362365,989,0.3213845443914767,1485
1582,FLBNN,0.22541569,0.05999465,0.2288140867699845,15921093.19838266,1057,0.32409810765018415,1498
1583,FLBNN,0.2279219,0.060237627,0.2314185831457382,15981082.894272923,1069,0.32700397924989993,1511
1584,FLBNN,0.23112155,0.060858965,0.248126163913102,16365910.724569332,1147,0.3312256393127627,1531
1585,FLBNN,0.23519006,0.061481666,0.2333312522839578,16025137.645513372,1078,0.336318401311119,1554
1586,FLBNN,0.24030146,0.062322456,0.2543560694174619,16509404.92948005,1175,0.34281277779212355,1584
1587,FLBNN,0.24712783,0.06359253,0.2506901123877922,16424966.475503312,1158,0.35172823361752026,1625
1588,FLBNN,0.2552617,0.06467179,0.2530711806256553,16479809.922709892,1169,0.36163732834294393,1671
1589,FLBNN,0.2648515,0.06667882,0.2623013854100088,16692410.40208586,1212,0.3745283989178444,1731
1590,FLBNN,0.2738615,0.06779856,0.2741361688426036,16965002.472344752,1267,0.385380207318087,1781
1591,FLBNN,0.2824296,0.06836094,0.2746562063774047,16976980.562947858,1269,0.394873340100812,1825
1592,FLBNN,0.29004276,0.06846552,0.3045127027196043,17664669.03607886,1407,0.40265851889311854,1860
1593,FLBNN,0.29773182,0.068705596,0.2857131458905012,17231656.45539395,1320,0.4107424687724625,1898
1594,FLBNN,0.30460194,0.06852751,0.2885108881937104,17296097.20928069,1333,0.4173196633694533,1928
1595,FLBNN,0.31260124,0.06917871,0.2634173550083155,16718114.671613142,1217,0.42639009205132405,1970
1596,FLBNN,0.32074067,0.06918421,0.2346902258529919,16056439.056368925,1085,0.4345385687462723,2008
1597,FLBNN,0.3276959,0.069035165,0.2233885420184551,15796125.936875504,1032,0.4412486415374433,2039
1598,FLBNN,0.33179924,0.06793163,0.2230395808249439,15788088.26937436,1031,0.4435368279902254,2049
1599,FLBNN,0.33209,0.06538593,0.2196275687047164,15709498.960757218,1015,0.43964028411209505,2031
1600,FLBNN,0.3271164,0.061823744,0.22635830899695,15864528.956961602,1046,0.4288074095501193,1981
1601,FLBNN,0.31957677,0.058567066,0.2148220447969879,15598812.718110943,993,0.41591102093000626,1922
1602,FLBNN,0.31011638,0.055725534,0.2220165588800052,15764524.874954902,1026,0.4017767267137076,1856
1603,FLBNN,0.30049986,0.054158963,0.2156427612125158,15617716.383571183,997,0.3895834267224806,1800
1604,FLBNN,0.29216185,0.05329193,0.2166532964717294,15640992.170572069,1001,0.379819274347744,1755
1605,FLBNN,0.28535077,0.053202253,0.1366066907052014,13797268.531067235,632,0.37286068880903983,1723
1606,FLBNN,0.2798408,0.05342856,0.1362030464912473,13787971.342609463,630,0.36772296069879434,1699
1607,FLBNN,0.27555165,0.05392527,0.1614426096416858,14369317.407013075,746,0.3642508259438374,1683
1608,FLBNN,0.2697747,0.0528206,0.172932648467656,14633968.930952244,799,0.35665685548775294,1648
1609,FLBNN,0.2620266,0.051952858,0.1749305390581269,14679986.59872868,809,0.34748144691179483,1606
1610,FLBNN,0.2531936,0.051859617,0.1708407663030456,14585786.343308242,790,0.33849507911476423,1564
1611,FLBNN,0.2444294,0.05225106,0.1665728957283245,14487483.938183015,770,0.330374745553059,1527
1612,FLBNN,0.23629293,0.052942477,0.1367194148438832,13799864.920473635,632,0.3233755553132449,1494
1613,FLBNN,0.2296764,0.05370258,0.1438138338859099,13963271.57552268,665,0.31800928348965163,1469
1614,FLBNN,0.22486737,0.054344818,0.1591687368128862,14316943.005281243,736,0.3142566409933177,1452
1615,FLBNN,0.22060128,0.05466309,0.1746152760645651,14672725.10614789,807,0.31051406184687474,1435
1616,FLBNN,0.21604429,0.055122558,0.1863514094125768,14943044.956476366,861,0.3067128294531429,1417
1617,FLBNN,0.21178052,0.055549283,0.1953294640194726,15149837.628782537,903,0.30315095961710375,1401
