qos,model,energy_cost
90,oracle,83244.80446000061
90,naive,88105.62771999984
90,HBNN,82959.14854000042
90,MCD,81646.62018000054
90,HBNN++,82724.27518000052
90,LSTMQ,82593.86614000036
90,LSTM,82567.28908000058
90,PROPHET,83315.68786000056
91,oracle,83244.80446000061
91,naive,88105.62771999984
91,HBNN,82983.38391000027
91,MCD,81646.62018000054
91,HBNN++,82768.07821000021
91,LSTMQ,82800.46694000058
91,LSTM,82580.3820500007
91,PROPHET,83341.3863200004
92,oracle,83244.80446000061
92,naive,88105.62771999984
92,HBNN,83007.7133400005
92,MCD,81646.62018000054
92,HBNN++,82810.63205000035
92,LSTMQ,82827.32402000061
92,LSTM,82590.36868000058
92,PROPHET,83367.89722000025
93,oracle,83244.80446000061
93,naive,88105.62771999984
93,HBNN,83031.73939000019
93,MCD,81646.62018000054
93,HBNN++,82854.28138000052
93,LSTMQ,82826.09012000023
93,LSTM,82602.31430000055
93,PROPHET,83396.01260000035
94,oracle,83244.80446000061
94,naive,88105.62771999984
94,HBNN,83055.91713000055
94,MCD,81646.62018000054
94,HBNN++,82901.65267000042
94,LSTMQ,82893.90143000038
94,LSTM,82617.91235000068
94,PROPHET,83424.1908200004
95,oracle,83244.80446000061
95,naive,88105.62771999984
95,HBNN,83080.59771000048
95,MCD,81646.62018000054
95,HBNN++,82950.2297600006
95,LSTMQ,83004.19535000034
95,LSTM,82633.12262000053
95,PROPHET,83454.28460000039
96,oracle,83244.80446000061
96,naive,88105.62771999984
96,HBNN,83106.9715700005
96,MCD,81646.62018000054
96,HBNN++,83003.63370000066
96,LSTMQ,83076.25817000057
96,LSTM,82651.18316000066
96,PROPHET,83485.7214000004
97,oracle,83244.80446000061
97,naive,88105.62771999984
97,HBNN,83136.56048000029
97,MCD,81646.62018000054
97,HBNN++,83059.4974700004
97,LSTMQ,82965.65292000031
97,LSTM,82671.71374000049
97,PROPHET,83520.57206000034
98,oracle,83244.80446000061
98,naive,88105.62771999984
98,HBNN,83172.49214000032
98,MCD,81646.62018000054
98,HBNN++,83121.85838000038
98,LSTMQ,83178.16978000043
98,LSTM,82699.74290000024
98,PROPHET,83562.93180000034
99,oracle,83244.80446000061
99,naive,88105.62771999984
99,HBNN,83220.62044000039
99,MCD,81646.62018000054
99,HBNN++,83211.30598000034
99,LSTMQ,83318.13968000039
99,LSTM,82738.33946000056
99,PROPHET,83621.09880000034
