,avggpu,std,labels
0,0.810325,2.3841858e-07,0.8048845367014169
1,0.79812235,5.9604645e-08,0.8143601653995144
2,0.7954903,1.7881393e-07,0.7977216888181714
3,0.78674257,1.1920929e-07,0.8060419023273572
4,0.7980391,1.1920929e-07,0.8134905652887071
5,0.7820129,1.7881393e-07,0.8562039240091545
6,0.78914315,5.9604645e-08,0.8775495897033515
7,0.80095476,1.7881393e-07,0.8704182465897544
8,0.84756666,5.9604645e-08,0.8018119957231918
9,0.87331027,2.9802322e-07,0.786699578229252
10,0.86069167,2.3841858e-07,0.7866658993466044
11,0.7763373,1.7881393e-07,0.7953153949390118
12,0.75401694,1.7881393e-07,0.7940678088752154
13,0.7635271,2.9802322e-07,0.7870965010581666
14,0.7785607,1.7881393e-07,0.797003345763423
15,0.7798793,1.7881393e-07,0.7954263384203334
16,0.7713941,1.7881393e-07,0.7922214639433095
17,0.78221184,5.9604645e-08,0.7894385102679656
18,0.78247505,5.9604645e-08,0.7848501616939664
19,0.7774328,1.1920929e-07,0.7988256284715406
20,0.7740175,2.9802322e-07,0.8225366274700748
21,0.76907367,2.9802322e-07,0.8088072088026707
22,0.7850247,1.7881393e-07,0.810643885578053
23,0.81353366,2.3841858e-07,0.8182381300529823
24,0.79814726,1.7881393e-07,0.8098191918269481
25,0.79497343,5.9604645e-08,0.8304981245455455
26,0.8050174,1.7881393e-07,0.81005404410447
27,0.79588836,5.9604645e-08,0.8111142470125913
28,0.8176065,5.9604645e-08,0.8041368764604945
29,0.79705423,1.7881393e-07,0.8006300718735947
30,0.7934322,1.7881393e-07,0.8232723578812865
31,0.78820103,2.9802322e-07,0.8621713107015082
32,0.7839476,1.1920929e-07,0.8550391022609646
33,0.8106306,2.9802322e-07,0.8610152348336907
34,0.8553696,1.7881393e-07,0.8737799717226403
35,0.84806,1.1920929e-07,0.8824738205076118
36,0.8477687,5.9604645e-08,0.8652259418280513
37,0.86272985,2.9802322e-07,0.8697037443213448
38,0.87248796,1.7881393e-07,0.8382611161100192
39,0.850544,0.0,0.7839597286467278
40,0.85252935,2.9802322e-07,0.7268120401295636
41,0.81871015,2.9802322e-07,0.7060503568522946
42,0.75535375,2.9802322e-07,0.7015054527286823
43,0.6944332,0.0,0.7187116392387168
44,0.67606413,0.0,0.7247234242213275
45,0.6790447,0.0,0.7576347929652233
46,0.7023278,0.0,0.7324006644198312
47,0.7136286,2.9802322e-07,0.7322794000311493
48,0.7481289,0.0,0.7252598146401253
49,0.72278804,2.9802322e-07,0.6944117730498981
50,0.71510637,0.0,0.7157286568867872
51,0.7099512,1.7881393e-07,0.6883913760785879
52,0.6763151,1.7881393e-07,0.6695906049624994
53,0.6975309,2.9802322e-07,0.6974407987086132
54,0.675251,0.0,0.673533406330339
55,0.6507569,5.9604645e-08,0.7093518476027495
56,0.6822527,1.1920929e-07,0.7099936425485013
57,0.6634033,0.0,0.7223766363195209
58,0.6964257,1.1920929e-07,0.6790742292507294
59,0.7038041,5.9604645e-08,0.679873141987236
60,0.7127869,5.9604645e-08,0.6550873958499138
61,0.6662672,1.7881393e-07,0.6341634657528138
62,0.6603376,2.3841858e-07,0.6226861129276103
63,0.63971907,5.9604645e-08,0.6189408698474753
64,0.6161974,2.9802322e-07,0.6074252751250585
65,0.6058867,2.3841858e-07,0.5910414092004267
66,0.60485834,5.9604645e-08,0.5919378686667988
67,0.5953676,1.7881393e-07,0.5922275747944937
68,0.5785484,5.9604645e-08,0.6111741737571991
69,0.57964915,1.1920929e-07,0.6098766651316742
70,0.5829917,1.1920929e-07,0.6055610881142136
71,0.6031151,0.0,0.5937572431119967
72,0.6043892,0.0,0.5891544410627308
73,0.597428,5.9604645e-08,0.5903805338119305
74,0.58440316,1.1920929e-07,0.6017439484072838
75,0.5785531,1.1920929e-07,0.5967113727343191
76,0.58075136,1.7881393e-07,0.6256813961691773
77,0.5934188,5.9604645e-08,0.6077245317555532
78,0.5899238,5.9604645e-08,0.6169013227338606
79,0.6174429,1.7881393e-07,0.6187763087324368
80,0.60286826,5.9604645e-08,0.6232012896481743
81,0.6062363,5.9604645e-08,0.6269073184686972
82,0.61056435,0.0,0.6217773087622603
83,0.61428237,2.3841858e-07,0.6037501725382827
84,0.618126,5.9604645e-08,0.5896113572697735
85,0.6125105,1.7881393e-07,0.5945143142785755
86,0.59271836,2.3841858e-07,0.5929683675365712
87,0.5766307,1.1920929e-07,0.5866987088549721
88,0.5822326,1.1920929e-07,0.5928999202715995
89,0.5837957,1.7881393e-07,0.5729875123985834
90,0.57746106,1.7881393e-07,0.5894126191396952
91,0.5832749,5.9604645e-08,0.604236856540857
92,0.5649264,2.3841858e-07,0.5963453966251672
93,0.5783215,1.7881393e-07,0.5930090402341678
94,0.5977898,5.9604645e-08,0.5929918278615328
95,0.59014976,0.0,0.599379682436718
96,0.5835553,1.7881393e-07,0.6404331143181489
97,0.5834209,5.9604645e-08,0.6438340431420054
98,0.5902596,5.9604645e-08,0.6332023006775481
