,time,avggpu,avggpumem
0,1593561600,3794.63344513656,1279.98046875
1,1593561900,3794.63344513656,1279.98046875
2,1593562200,3794.63344513656,1279.98046875
3,1593562500,3794.63344513656,1279.98046875
4,1593562800,3794.63344513656,1279.98046875
5,1593563100,3794.63344513656,1279.98046875
6,1593563400,3794.63344513656,1279.98046875
7,1593563700,3794.63344513656,1279.98046875
8,1593564000,3794.63344513656,1279.98046875
9,1593564300,3794.63344513656,1279.98046875
10,1593564600,3794.63344513656,1279.98046875
11,1593564900,3794.63344513656,1279.98046875
12,1593565200,3794.63344513656,1279.98046875
13,1593565500,3794.63344513656,1279.98046875
14,1593565800,3794.63344513656,1279.98046875
15,1593566100,3794.63344513656,1279.98046875
16,1593566400,3794.63344513656,1279.98046875
17,1593566700,3794.63344513656,1279.98046875
18,1593567000,3794.63344513656,1279.98046875
19,1593567300,3794.63344513656,1279.98046875
20,1593567600,3794.63344513656,1279.98046875
21,1593567900,3794.63344513656,1279.98046875
22,1593568200,3794.63344513656,1279.98046875
23,1593568500,3794.63344513656,1279.98046875
24,1593568800,3794.63344513656,1279.98046875
25,1593569100,3794.63344513656,1279.98046875
26,1593569400,3794.63344513656,1279.98046875
27,1593569700,3794.63344513656,1279.98046875
28,1593570000,3794.63344513656,1279.98046875
29,1593570300,3794.63344513656,1279.98046875
30,1593570600,3794.63344513656,1279.98046875
31,1593570900,3794.63344513656,1279.98046875
32,1593571200,3794.63344513656,1279.98046875
33,1593571500,3794.63344513656,1279.98046875
34,1593571800,3794.63344513656,1279.98046875
35,1593572100,3794.63344513656,1279.98046875
36,1593572400,3794.63344513656,1279.98046875
37,1593572700,3794.63344513656,1279.98046875
38,1593573000,3794.63344513656,1279.98046875
39,1593573300,3794.63344513656,1279.98046875
40,1593573600,3794.63344513656,1279.98046875
41,1593573900,3794.63344513656,1279.98046875
42,1593574200,3794.63344513656,1279.98046875
43,1593574500,3794.63344513656,1279.98046875
44,1593574800,3794.63344513656,1279.98046875
45,1593575100,3794.63344513656,1279.98046875
46,1593575400,3794.63344513656,1279.98046875
47,1593575700,3794.63344513656,1279.98046875
48,1593576000,3794.63344513656,1279.98046875
49,1593576300,3794.63344513656,1279.98046875
50,1593576600,3794.63344513656,1279.98046875
51,1593576900,3794.63344513656,1279.98046875
52,1593577200,3794.63344513656,1279.98046875
53,1593577500,3794.63344513656,1279.98046875
54,1593577800,3794.63344513656,1279.98046875
55,1593578100,3794.63344513656,1279.98046875
56,1593578400,3794.63344513656,1279.98046875
57,1593578700,3794.63344513656,1279.98046875
58,1593579000,3794.63344513656,1279.98046875
59,1593579300,3794.63344513656,1279.98046875
60,1593579600,3794.63344513656,1279.98046875
61,1593579900,3794.63344513656,1279.98046875
62,1593580200,3794.63344513656,1279.98046875
63,1593580500,3794.63344513656,1279.98046875
64,1593580800,3794.63344513656,1279.98046875
65,1593581100,3794.63344513656,1279.98046875
66,1593581400,3794.63344513656,1279.98046875
67,1593581700,3794.63344513656,1279.98046875
68,1593582000,3794.63344513656,1279.98046875
69,1593582300,3794.63344513656,1279.98046875
70,1593582600,3794.63344513656,1279.98046875
71,1593582900,3794.63344513656,1279.98046875
72,1593583200,3794.63344513656,1279.98046875
73,1593583500,3794.63344513656,1279.98046875
